,all_businesses,food,nightlife,shopping,fitness,selfcare,auto,home,health,geoid,population_total,population_total_male,population_total_female,population_total_under_18,population_total_18_to_65,population_total_65_and_over,population_male_under_18,population_female_under_18,population_male_18_to_64,population_female_18_to_64,population_male_65_and_over,population_female_65_and_over,population_total_white,population_total_non_white,median_income,area_mi2,population_density,food_predicted,food_error,auto_predicted,auto_error,nightlife_predicted,nightlife_error,shopping_predicted,shopping_error,fitness_predicted,fitness_error,selfcare_predicted,selfcare_error,home_predicted,home_error,health_predicted,health_error,geographic_area_name
2478,3,1,0,1,1,0,0,0,0,42003412002,5238,2660,2578,1437,3048,753,769,668,1513,1535,378,375,4759,509,54085,4.846735763,1080.7273710000002,5.019,4.019,-0.31,-0.31,-1.703,-1.703,-0.525,-1.525,1.325,0.325,1.393,1.393,0.627,0.627,-1.067,-1.067,"Census Tract 4120.02, Allegheny County, Pennsylvania"
2479,73,25,11,7,8,10,16,3,3,42003413100,6695,3223,3472,1479,4002,1214,756,723,1995,2007,472,742,5506,1457,52471,6.15838078,1087.136414,23.539,-1.4609999999999999,3.24,-12.76,10.804,-0.196,20.206,13.206,7.837000000000001,-0.163,7.563,-2.437,16.02,13.02,9.718,6.718,"Census Tract 4131, Allegheny County, Pennsylvania"
2480,40,17,4,9,3,5,6,4,2,42003413201,3631,1762,1869,708,2259,664,424,284,1069,1190,269,395,3380,325,48268,1.4594194409999999,2487.975628,13.079,-3.9210000000000003,2.937,-3.063,6.91,2.91,9.411,0.41100000000000003,3.5580000000000003,0.5579999999999999,4.947,-0.053,6.4510000000000005,2.451,3.875,1.875,"Census Tract 4132.01, Allegheny County, Pennsylvania"
2481,5,1,3,0,2,1,0,0,1,42003413202,2742,1265,1477,657,1590,495,305,352,766,824,194,301,2603,187,40568,1.6006177730000002,1713.0885629999998,6.756,5.756,0.33399999999999996,0.33399999999999996,-0.602,-3.602,0.6779999999999999,0.6779999999999999,1.141,-0.8590000000000001,1.859,0.8590000000000001,0.268,0.268,-0.005,-1.005,"Census Tract 4132.02, Allegheny County, Pennsylvania"
2482,40,10,5,5,1,6,6,8,5,42003413300,4358,2087,2271,803,2471,1084,393,410,1261,1210,433,651,3984,441,42595,2.217995124,1964.8375019999999,13.232000000000001,3.2319999999999998,4.624,-1.376,1.6880000000000002,-3.312,6.124,1.124,4.4239999999999995,3.424,5.109,-0.8909999999999999,4.258,-3.742,3.452,-1.548,"Census Tract 4133, Allegheny County, Pennsylvania"
2483,34,10,4,10,4,3,2,4,4,42003413400,4528,2071,2457,1112,2457,959,477,635,1149,1308,445,514,4194,334,42386,1.696616669,2668.840925,11.658,1.6580000000000001,3.821,1.821,4.211,0.21100000000000002,5.547000000000001,-4.453,3.3139999999999996,-0.6859999999999999,5.125,2.125,3.7089999999999996,-0.29100000000000004,1.78,-2.22,"Census Tract 4134, Allegheny County, Pennsylvania"
2484,57,29,14,12,4,7,3,6,7,42003413500,6628,3336,3292,1003,4175,1450,609,394,2145,2030,582,868,5593,1148,34773,3.36574132,1969.254132,28.989,-0.011000000000000001,4.989,1.989,10.845999999999998,-3.154,11.950999999999999,-0.049,4.396,0.396,7.9879999999999995,0.988,2.8939999999999997,-3.1060000000000003,3.735,-3.265,"Census Tract 4135, Allegheny County, Pennsylvania"
2485,40,19,5,8,4,5,7,4,1,42003414101,5228,2642,2586,1219,3167,842,709,510,1531,1636,402,440,5055,185,47260,3.718465333,1405.9563640000001,13.777999999999999,-5.222,3.199,-3.801,7.803,2.803,9.921,1.921,3.8710000000000004,-0.129,4.511,-0.489,7.684,3.6839999999999997,4.081,3.0810000000000004,"Census Tract 4141.01, Allegheny County, Pennsylvania"
2486,45,17,7,5,8,4,8,5,2,42003414102,7430,3645,3785,1665,4110,1655,912,753,2027,2083,706,949,6741,785,41731,7.007227534,1060.333772,17.201,0.201,5.7010000000000005,-2.299,7.211,0.21100000000000002,12.267999999999999,7.268,4.985,-3.015,5.577999999999999,1.578,8.818,3.818,4.811,2.8110000000000004,"Census Tract 4141.02, Allegheny County, Pennsylvania"
2487,22,4,5,7,1,2,2,5,2,42003414200,5707,2673,3034,1341,3148,1218,637,704,1482,1666,554,664,5500,243,39351,5.476835181,1042.02515,11.665,7.665,3.11,1.11,-2.131,-7.131,2.822,-4.178,2.736,1.736,2.2640000000000002,0.264,0.995,-4.005,-0.368,-2.3680000000000003,"Census Tract 4142, Allegheny County, Pennsylvania"
2488,11,6,3,2,1,2,2,0,0,42003415001,4679,2345,2334,1153,2831,695,577,576,1439,1392,329,366,4353,398,42041,12.54179696,373.07253629999997,8.535,2.535,0.191,-1.8090000000000002,0.9129999999999999,-2.0869999999999997,1.874,-0.126,1.685,0.685,1.755,-0.245,1.311,1.311,-0.285,-0.285,"Census Tract 4150.01, Allegheny County, Pennsylvania"
2489,20,11,3,0,3,4,1,1,1,42003415002,2564,1290,1274,551,1450,563,315,236,679,771,296,267,2289,360,45099,5.026402611,510.10637199999996,6.6770000000000005,-4.323,0.767,-0.233,6.579,3.5789999999999997,4.817,4.817,2.489,-0.511,2.8510000000000004,-1.149,2.358,1.358,2.931,1.931,"Census Tract 4150.02, Allegheny County, Pennsylvania"
